10.84,13.78,17.24,19.89,22.42,23.74,25.72,26.69,28.57,29.02,30.96,31.05,32.47,32.18,33.96,34.33
19.15,24.28,28.60,32.12,34.52,36.65,39.85,41.84,44.13,44.37,45.45,47.05,47.99,49.81,50.66,50.65
24.00,29.53,33.12,37.62,41.41,43.25,46.07,47.54,50.09,51.29,53.16,53.87,54.31,55.73,56.67,56.74
25.82,32.70,36.37,39.87,43.82,47.06,49.73,50.40,52.19,54.38,56.14,55.97,57.97,59.38,60.23,60.88
27.46,33.08,38.41,42.53,47.04,48.47,50.37,53.85,54.99,57.28,57.19,59.13,59.07,60.90,61.94,62.73
28.77,35.77,39.99,44.11,47.46,49.92,52.87,53.63,56.88,57.67,59.43,60.33,62.50,62.54,63.52,65.10
28.32,35.15,41.70,44.49,48.36,51.88,53.56,56.22,57.33,58.53,60.91,62.00,62.01,63.54,64.34,64.77
30.43,35.81,41.37,44.73,47.94,51.70,54.91,56.59,57.89,60.28,61.68,62.57,63.50,63.87,65.20,66.00
30.30,36.16,41.61,46.19,49.50,51.38,53.93,57.06,58.27,60.13,60.40,62.96,64.05,64.45,65.08,67.14
30.01,35.46,42.78,45.29,50.45,52.05,56.13,57.20,58.88,60.47,61.48,63.11,64.86,64.68,66.49,66.66
29.42,36.81,42.97,47.86,50.15,52.82,53.77,57.70,58.48,61.23,62.33,63.38,65.03,65.69,66.36,67.23
30.90,37.17,42.35,47.38,49.93,53.10,54.98,57.81,59.54,61.54,63.72,63.87,64.11,65.61,67.27,67.92
31.65,37.05,42.51,47.40,51.42,53.61,55.01,57.44,60.28,62.29,62.97,64.26,65.19,66.64,66.65,68.14
31.19,37.62,43.91,46.67,50.91,54.38,56.55,58.18,60.83,61.70,62.90,64.83,65.45,65.92,67.04,68.06
30.92,37.22,43.51,47.77,51.10,53.50,56.64,59.23,60.56,62.61,62.54,64.29,65.56,67.23,67.26,68.21
31.08,38.43,45.20,47.84,51.50,55.13,56.80,58.06,60.83,62.04,63.47,64.87,65.87,67.34,67.26,68.86
